optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.1,0.95,0.999,1e-07,7.22873153397291e-14,4.786927063895783e-14,617.65,1.0,1.8600162928644122e-07,8.727848410534155e-08
Adam,0.021544346900318822,0.9,0.9995,1e-08,7.845083402068398e-14,6.587811672825358e-14,479.6,1.0,1.6944768231652243e-07,1.0644098876736884e-07
Adam,0.004641588833612777,0.99,0.9995,1e-07,0.049558208980596125,0.14014173772489863,1000.0,0.0,0.06029799095817562,0.10631394242093349
Adam,0.00046415888336127773,0.95,0.999,1e-06,18.10051595808451,13.330715776751255,1000.0,0.0,2.3160635913417105,0.7943386317231442
Adam,0.1,0.99,0.9995,1e-08,0.00030837797623773944,0.00023842022662723308,1000.0,0.0,0.009919158995187114,0.003752716018334963
Adam,0.0001,0.99,0.999,1e-08,27.298511919174253,16.5039261209927,1000.0,0.0,2.893588716418628,0.8130376019840954
Adam,0.001,0.95,0.999,1e-06,9.863216918960777,9.404958991704332,1000.0,0.0,1.646213847379745,0.7396266586007818
Adam,0.021544346900318822,0.95,0.9999,1e-08,7.071767728291479e-14,3.2710475370091023e-14,658.05,1.0,1.7926730344461329e-07,8.029104471889302e-08
Adam,0.002154434690031882,0.95,0.9995,1e-06,2.7121891480683162,3.9455374819548643,1000.0,0.0,0.752786310198112,0.553096702389283
Adam,0.00046415888336127773,0.99,0.9995,1e-08,17.945645479331453,13.308853255088529,1000.0,0.0,2.3043791698231937,0.7964448726091121
Adam,0.0001,0.99,0.9995,1e-06,27.3018036005653,16.504072530089047,1000.0,0.0,2.8937877026901675,0.8129959914039824
Adam,0.004641588833612777,0.95,0.9995,1e-06,0.14591487085913268,0.3416267610454868,1000.0,0.0,0.11278898979825898,0.1767735491272682
Adam,0.021544346900318822,0.95,0.9995,1e-08,7.463689526951564e-14,3.8642273654375514e-14,660.75,1.0,1.8240551231502302e-07,8.232356384540239e-08
Adam,0.046415888336127774,0.9,0.9995,1e-07,5.955651859033239e-14,3.132337191665775e-14,319.7,1.0,1.602233946484628e-07,5.992178092075987e-08
Adam,0.1,0.9,0.9995,1e-07,4.018715069265037e-14,2.48162480079048e-14,307.8,1.0,1.344793172735831e-07,6.621332339324449e-08
Adam,0.002154434690031882,0.95,0.9999,1e-08,2.7804984693450154,3.998389207785826,1000.0,0.0,0.7669258936952641,0.5544051776204385
Adam,0.004641588833612777,0.99,0.9995,1e-06,0.049558232521180225,0.14014179898651763,1000.0,0.0,0.06029799906651272,0.10631397110938391
Adam,0.046415888336127774,0.9,0.9995,1e-06,5.955698947283363e-14,3.132277879965256e-14,319.7,1.0,1.6022459075985776e-07,5.992203713996076e-08
Adam,0.046415888336127774,0.95,0.999,1e-06,6.483031085863228e-14,3.085390712375859e-14,625.1,1.0,1.7607405251249342e-07,6.597383678000458e-08
Adam,0.0001,0.99,0.999,1e-06,27.298512312197715,16.503926142293185,1000.0,0.0,2.893588749077483,0.813037595615688
Adam,0.01,0.9,0.999,1e-06,4.0864946208428606e-05,0.00013432583414497637,919.5,0.45,0.0011688335066516666,0.0033627456579191153
Adam,0.1,0.99,0.9999,1e-07,0.0003468734899463244,0.00030556368261729804,1000.0,0.0,0.010025874742970002,0.0038480843899079686
Adam,0.046415888336127774,0.95,0.999,1e-06,6.483031085863228e-14,3.085390712375859e-14,625.1,1.0,1.7607405251249342e-07,6.597383678000458e-08
Adam,0.1,0.99,0.999,1e-07,0.00035874006908522525,0.0003378691621364709,1000.0,0.0,0.009628321663049142,0.003977671520589967
Adam,0.0001,0.99,0.9999,1e-07,27.30445048150445,16.5041946224386,1000.0,0.0,2.8939475926112435,0.8129627857731093
Adam,0.00021544346900318845,0.9,0.999,1e-07,23.98274648431486,15.460237438919801,1000.0,0.0,2.699116544705217,0.8088471695857347
Adam,0.004641588833612777,0.9,0.999,1e-06,0.14446866544998688,0.33726759313297466,1000.0,0.0,0.11326408787427886,0.17531178190892277
Adam,0.004641588833612777,0.95,0.9995,1e-08,0.14591481506820947,0.341626660091684,1000.0,0.0,0.11278894099552028,0.1767735235417436
Adam,0.046415888336127774,0.99,0.9999,1e-08,0.0004517310068532822,0.00043937685291212174,1000.0,0.0,0.01064370053350043,0.004996619667670035
Adam,0.002154434690031882,0.99,0.9999,1e-06,2.2996452122750113,3.6476559763186285,1000.0,0.0,0.6547581264894217,0.5522167933887928
Adam,0.01,0.99,0.999,1e-07,0.000885449642356636,0.0007601908562827141,1000.0,0.0,0.015748168668489805,0.006513560418833737
Adam,0.046415888336127774,0.95,0.9995,1e-06,5.853223473730259e-14,2.1204129713398422e-14,627.05,1.0,1.6372367003222858e-07,4.991580463609685e-08
Adam,0.021544346900318822,0.99,0.9995,1e-08,0.00054315420218489,0.0005482980775851666,1000.0,0.0,0.01268208045575929,0.005216027694807937
Adam,0.0001,0.99,0.9995,1e-07,27.301803245025184,16.504072510490115,1000.0,0.0,2.893787673159453,0.8129959971298993
Adam,0.004641588833612777,0.9,0.9995,1e-08,0.16334791117900413,0.37388444828382633,1000.0,0.0,0.12384616250920492,0.1844730320249527
Adam,0.021544346900318822,0.9,0.9999,1e-07,1.4173342372066916e-13,1.7896273040410583e-13,479.7,1.0,2.290867465464085e-07,1.679008306467809e-07
Adam,0.0001,0.9,0.999,1e-06,27.31631482430958,16.50469924769401,1000.0,0.0,2.894664879778665,0.812812085586599
