optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.1,0.9,0.9995,1e-08,830.0751967494332,5.05900040919879e-12,281.55,1.0,587.930297471104,1.8478508848638862e-06
Adam,0.046415888336127774,0.95,0.999,1e-08,830.0751967494322,9.323013879825752e-13,578.85,1.0,587.9302978262351,1.4465092912787932e-06
Adam,0.001,0.95,0.999,1e-07,836.1428436248382,1.9548307829364848,1000.0,0.0,593.9029088706895,1.6107867436697734
Adam,0.0001,0.9,0.9995,1e-07,837.690049960888,2.150540438199214,1000.0,0.0,595.1039251799576,1.6533500159984615
Adam,0.00021544346900318845,0.99,0.9995,1e-07,837.4855247706167,2.1341613550188376,1000.0,0.0,594.9425183629097,1.6536128947379032
Adam,0.00021544346900318845,0.95,0.9999,1e-07,837.4857437106008,2.1355864895282304,1000.0,0.0,594.9429316208686,1.654938347982353
Adam,0.046415888336127774,0.9,0.999,1e-08,830.0751967494331,4.885955559074508e-12,362.25,1.0,587.9302973141544,1.945960163748384e-06
Adam,0.001,0.99,0.9999,1e-06,836.1358316773591,1.9519830968624465,1000.0,0.0,593.8921073073236,1.6141256707298683
Adam,0.004641588833612777,0.99,0.999,1e-06,832.039958090307,1.519276140371609,1000.0,0.0,590.2397359084802,1.286890283583869
Adam,0.004641588833612777,0.95,0.9999,1e-07,832.3787212197561,1.739327244785039,1000.0,0.0,590.5872527131171,1.4939686953193387
Adam,0.0001,0.95,0.9999,1e-06,837.6900439247381,2.1505568045899466,1000.0,0.0,595.1039160553812,1.6533725598576485
Adam,0.046415888336127774,0.99,0.9995,1e-07,830.0754009443466,0.00018241813873358715,1000.0,0.0,587.9342147437566,0.023151595446359047
Adam,0.0001,0.9,0.9995,1e-07,837.690049960888,2.150540438199214,1000.0,0.0,595.1039251799576,1.6533500159984615
Adam,0.0001,0.9,0.9999,1e-07,837.6900394879489,2.1506146426003094,1000.0,0.0,595.1039004776801,1.6534511109334378
Adam,0.1,0.99,0.9999,1e-07,830.0753252869383,8.103127923507239e-05,1000.0,0.0,587.9257577298667,0.01602220359351054
Adam,0.021544346900318822,0.99,0.9999,1e-06,830.0757944219688,0.0007047181718846411,1000.0,0.0,587.9187652333023,0.037752735135644845
Adam,0.004641588833612777,0.99,0.9999,1e-06,832.0960539819977,1.582594293331482,1000.0,0.0,590.2916105008046,1.3436583436032887
Adam,0.00046415888336127773,0.95,0.9995,1e-07,837.0556033702367,2.1000938989418305,1000.0,0.0,594.6078455691204,1.6549335574013744
Adam,0.002154434690031882,0.9,0.9999,1e-08,834.4835481575959,1.7759696585133466,1000.0,0.0,592.6089790706183,1.5298804394209533
Adam,0.004641588833612777,0.9,0.9995,1e-07,832.3929499669446,1.7356435729315005,1000.0,0.0,590.605246919554,1.4907157482462616
Adam,0.004641588833612777,0.9,0.999,1e-08,832.35968372312,1.7131693442713123,1000.0,0.0,590.5732061468385,1.464749366353474
Adam,0.021544346900318822,0.95,0.999,1e-08,830.0751967494327,2.7216068583597708e-12,760.45,1.0,587.9302969120456,1.2984053719175978e-06
Adam,0.01,0.99,0.9995,1e-06,830.0925888833463,0.03835452327472314,1000.0,0.0,587.9306323746731,0.2089529077261982
Adam,0.1,0.95,0.9999,1e-07,830.0751967494323,6.68726041560728e-13,545.7,1.0,587.930298123809,1.4838428325890138e-06
Adam,0.0001,0.95,0.9995,1e-08,837.6900531866473,2.1504840579002464,1000.0,0.0,595.1039395772636,1.6532730336522385
Adam,0.01,0.95,0.9995,1e-07,830.1442116915972,0.15945844354835714,1000.0,0.0,588.1625829005966,0.34813355341155905
