optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.00021544346900318845,0.99,0.01,0.0004733191454036065,0.00030817488694928917,1000.0,0.0,0.015948209495014708,0.004730416896450097
SGD+Momentum,0.00046415888336127773,0.8,0.1,0.0006887837968832946,0.0005955897287194304,1000.0,0.0,0.023471846947508222,0.01163026698974814
SGD+Momentum,0.001,0.9,0.001,3.0257846336461555e-09,2.131229857578501e-09,1000.0,0.0,4.2486219756590894e-05,1.6094515821911587e-05
SGD+Momentum,0.021544346900318822,0.95,0.1,0.0018358082569107938,0.0015885269021902577,1000.0,0.0,0.03231226726728189,0.016466073323731
SGD+Momentum,0.001,0.95,0.001,1.0185773467026283e-08,8.97781094321591e-09,1000.0,0.0,7.401149486297757e-05,3.5233133888217e-05
SGD+Momentum,0.046415888336127774,0.95,0.1,0.004019703716403442,0.003617715652043495,1000.0,0.0,0.049125411272570266,0.02061768194943417
SGD+Momentum,0.00021544346900318845,0.8,0.001,0.11473884916608786,0.09139616832772617,1000.0,0.0,0.30363228008178433,0.14689247895115773
SGD+Momentum,0.046415888336127774,0.9,0.1,0.002117332162497902,0.0015825511204521755,1000.0,0.0,0.036733086157133214,0.01680111445699807
SGD+Momentum,0.00046415888336127773,0.9,0.001,1.3840484437497979e-08,1.0812820434553494e-08,1000.0,0.0,0.00010410232106588952,4.8898467373039364e-05
SGD+Momentum,0.01,0.95,0.1,0.0012925844835260582,0.0015635619146312843,1000.0,0.0,0.02501174204065713,0.014943692480614666
SGD+Momentum,0.021544346900318822,0.8,0.01,5.30024437518351e-06,5.704469686392822e-06,1000.0,0.0,0.0018329315471867173,0.0010649021478727628
SGD+Momentum,0.002154434690031882,0.8,0.001,7.052839455380758e-09,5.319865340087232e-09,1000.0,0.0,6.565939862826342e-05,2.880832834266592e-05
SGD+Momentum,0.01,0.95,0.01,7.437346242835837e-06,5.471078052209874e-06,1000.0,0.0,0.002211791877764136,0.0007665225941799928
SGD+Momentum,0.00046415888336127773,0.8,0.1,0.0007356786797637631,0.00059689111793976,1000.0,0.0,0.02412406417436887,0.012321130271899555
SGD+Momentum,0.0001,0.99,0.01,0.0008864285334935008,0.0003869728740073034,1000.0,0.0,0.024523644558153822,0.005690534549676153
SGD+Momentum,0.1,0.99,0.1,0.05949351149132737,0.06372815572136604,1000.0,0.0,0.18807695326051316,0.10952108995452033
SGD+Momentum,0.021544346900318822,0.99,0.01,0.0008611458511603913,0.0007428316660444453,1000.0,0.0,0.019891411703085622,0.008835013709047903
SGD+Momentum,0.00021544346900318845,0.8,0.1,0.1148688059139901,0.09135756454892568,1000.0,0.0,0.3038830242608308,0.14687534771097688
SGD+Momentum,0.002154434690031882,0.99,0.01,0.0003833231219961431,0.00023661110956878516,1000.0,0.0,0.01772237369174838,0.006589684004378122
SGD+Momentum,0.001,0.9,0.001,4.4061206708511035e-09,3.5100531612100915e-09,1000.0,0.0,5.158692991219365e-05,2.4520552156446578e-05
SGD+Momentum,0.004641588833612777,0.95,0.01,4.410102785499565e-06,3.4088112115764622e-06,1000.0,0.0,0.0016799091035696212,0.0007298546551476249
SGD+Momentum,0.004641588833612777,0.95,0.001,4.1733008795858495e-08,5.250143539383345e-08,1000.0,0.0,0.00015648807068401255,0.0001004897530524682
SGD+Momentum,0.1,0.8,0.001,2.5502734951808134e-07,2.928154328702237e-07,1000.0,0.0,0.0003666071196197754,0.00020095367088184349
SGD+Momentum,0.1,0.99,0.01,0.0009084937838260132,0.0009227269441768492,1000.0,0.0,0.02434681465514154,0.015414906691845831
SGD+Momentum,0.002154434690031882,0.99,0.01,0.00037057376704074344,0.0002602741652208195,1000.0,0.0,0.017113249663113964,0.007573713449237183
SGD+Momentum,0.004641588833612777,0.9,0.001,1.9486039575898067e-08,3.065761401232241e-08,1000.0,0.0,9.932485293122474e-05,6.607965373341265e-05
SGD+Momentum,0.004641588833612777,0.8,0.001,9.853333941428983e-09,7.385778620231825e-09,1000.0,0.0,7.807946562084106e-05,3.078977780727489e-05
SGD+Momentum,0.004641588833612777,0.95,0.1,0.0003511097536432528,0.0003552670275836348,1000.0,0.0,0.014973463760095122,0.00770488993185326
SGD+Momentum,0.00021544346900318845,0.9,0.1,0.001178564098981397,0.0009888322519808971,1000.0,0.0,0.030691538714903717,0.015302718999015984
SGD+Momentum,0.021544346900318822,0.8,0.001,4.526107524008341e-08,6.130022367025082e-08,1000.0,0.0,0.00015658801912196425,0.0001130530303417003
SGD+Momentum,0.021544346900318822,0.9,0.001,1.1585612905291187e-07,1.0760095327907666e-07,1000.0,0.0,0.0002493439424130138,0.00013578800982939375
SGD+Momentum,0.001,0.9,0.1,5.021793019979151e-05,4.702090319495895e-05,1000.0,0.0,0.0055091061759941886,0.0029205420606256698
SGD+Momentum,0.0001,0.8,0.1,1.382336089392526,0.8718940577863769,1000.0,0.0,1.051176812700676,0.40886908650731785
SGD+Momentum,0.0001,0.9,0.01,0.15438739219705455,0.12219538316665975,1000.0,0.0,0.3523241100728588,0.16926558872309072
SGD+Momentum,0.046415888336127774,0.8,0.001,1.7417166130608496e-07,1.6952265817278316e-07,1000.0,0.0,0.00032145745034273655,0.00017988735102193493
SGD+Momentum,0.0001,0.99,0.1,0.0009090146553829292,0.0005855011872387799,1000.0,0.0,0.024412362466925065,0.007147791528067455
SGD+Momentum,0.1,0.9,0.01,4.555977938553143e-05,5.436961010273097e-05,1000.0,0.0,0.004999059625796942,0.003273911486374261
SGD+Momentum,0.004641588833612777,0.95,0.1,0.00044729407531758576,0.00041792333685625486,1000.0,0.0,0.01581978017989558,0.008540154715884448
SGD+Momentum,0.00021544346900318845,0.95,0.1,2.5357005320819094e-05,2.1106265842708433e-05,1000.0,0.0,0.0037801652313609103,0.002012048602694001
SGD+Momentum,0.00021544346900318845,0.99,0.01,0.0004686088138860558,0.0003137707237623646,1000.0,0.0,0.0158654028182632,0.004691840221318028
SGD+Momentum,0.00021544346900318845,0.8,0.001,0.11473702672580774,0.09139689706959792,1000.0,0.0,0.30362884770690785,0.14689311908610866
SGD+Momentum,0.0001,0.99,0.001,0.0008842570509521235,0.00039389798615174727,1000.0,0.0,0.02442874651596281,0.005773646249767386
SGD+Momentum,0.00046415888336127773,0.99,0.1,0.00032141814308068377,0.00036014501854698743,1000.0,0.0,0.01306110356897713,0.007141914247001885
SGD+Momentum,0.1,0.8,0.1,0.0019056100512395136,0.001561437548132551,1000.0,0.0,0.03310371842234821,0.017926765455124463
