optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.021544346900318822,0.9,0.1,4.339742144986685,3.318144773872016,1000.0,0.0,1.8686248331673803,1.5743250568976617
SGD+Momentum,0.0001,0.99,0.01,5.048695436492123,3.2244808197156605,1000.0,0.0,2.205002710816131,1.5120396898106705
SGD+Momentum,0.046415888336127774,0.99,0.1,19.249753644123864,4.557451812937445,1000.0,0.0,281.6514869326944,273.27495947281113
SGD+Momentum,0.001,0.8,0.1,6.995685955408061,1.599730797305644,1000.0,0.0,3.0811160114043763,0.8931346096166857
SGD+Momentum,0.046415888336127774,0.8,0.01,5.402429105339985,2.9350841846694378,1000.0,0.0,2.3468222160695484,1.4593043922303608
SGD+Momentum,0.002154434690031882,0.95,0.001,5.273822903909926,3.2129383606603494,1000.0,0.0,2.313368061147723,1.513395845587159
SGD+Momentum,0.002154434690031882,0.9,0.001,6.995647895837908,1.5997228746167402,1000.0,0.0,3.081182948654873,0.8928523248512525
SGD+Momentum,0.046415888336127774,0.8,0.01,5.030214855320368,2.7456528508252083,1000.0,0.0,2.1530658225627546,1.3816247377521838
SGD+Momentum,0.1,0.8,0.01,12.157480010227701,7.032486428904244,1000.0,0.0,15.421843038978142,19.77527434720454
SGD+Momentum,0.046415888336127774,0.9,0.1,4.3335775688875415,2.7178655925865023,1000.0,0.0,1.7957963911227757,1.3369839900393297
SGD+Momentum,0.021544346900318822,0.95,0.01,3.9507409855806905,3.1295195860095015,1000.0,0.0,1.6503128224887202,1.5223989172796293
SGD+Momentum,0.01,0.95,0.001,4.335187801675756,3.242161305520381,1000.0,0.0,1.8580090233154252,1.5396983200148078
SGD+Momentum,0.001,0.9,0.1,6.995703117494074,1.5997360736872626,1000.0,0.0,3.0811237437751187,0.8924852056887066
SGD+Momentum,0.004641588833612777,0.8,0.01,6.995649339737254,1.5997232565884396,1000.0,0.0,3.0812414232159986,0.8929004553395887
SGD+Momentum,0.0001,0.99,0.01,5.049158220385048,3.2239217943863063,1000.0,0.0,2.2049525012794806,1.512065027021102
SGD+Momentum,0.0001,0.99,0.1,5.188929235608635,3.1743474876116364,1000.0,0.0,2.2673170971240606,1.4845529523827405
SGD+Momentum,0.001,0.99,0.01,4.083529379449588,3.240509682578331,1000.0,0.0,1.7584650870877083,1.5274107900578118
SGD+Momentum,0.00046415888336127773,0.99,0.1,3.8022143681834306,3.434967898798401,1000.0,0.0,1.6517121770924046,1.598795829231756
SGD+Momentum,0.01,0.9,0.001,5.218304361807225,3.1266301771161267,1000.0,0.0,2.2739584402706448,1.4740885019279162
SGD+Momentum,0.002154434690031882,0.95,0.001,5.274868463792778,3.2112465757428503,1000.0,0.0,2.313634127788615,1.5130057749068306
SGD+Momentum,0.002154434690031882,0.99,0.1,4.481170298646322,3.1474301290291686,1000.0,0.0,1.9267471476825417,1.4643245961509364
SGD+Momentum,0.1,0.95,0.01,21.62054814386692,0.45794233870131135,1000.0,0.0,176.32748427773183,90.58493018105939
SGD+Momentum,0.004641588833612777,0.99,0.01,3.976425665521954,3.203769045053656,1000.0,0.0,1.6958020358694692,1.5189250633696854
SGD+Momentum,0.001,0.95,0.01,6.358828270023894,2.67684623789962,1000.0,0.0,2.814406449095455,1.2999959006226773
SGD+Momentum,0.1,0.8,0.1,10.25524600317824,7.710188111689819,1000.0,0.0,19.534931658379953,27.59555902399494
SGD+Momentum,0.046415888336127774,0.9,0.001,4.769957871664426,2.7487298492839476,1000.0,0.0,1.9853603527336123,1.3453754457364153
SGD+Momentum,0.01,0.95,0.1,4.4560162095347575,3.3358446008793,1000.0,0.0,1.9312302111793371,1.5601936624700834
SGD+Momentum,0.046415888336127774,0.99,0.1,20.60863957113626,3.2529321294293867,1000.0,0.0,323.3519671900011,184.09260711000957
SGD+Momentum,0.0001,0.95,0.1,6.995655158979497,1.5997235814019801,1000.0,0.0,3.081315886422913,0.8929219393838707
SGD+Momentum,0.1,0.95,0.01,21.42074655669958,0.7692678817057467,1000.0,0.0,147.09455593095092,93.51303718043053
SGD+Momentum,0.002154434690031882,0.9,0.1,6.995708774188048,1.5997066834407674,1000.0,0.0,3.0813662350652384,0.8927338763177444
SGD+Momentum,0.002154434690031882,0.8,0.1,6.995700518683411,1.5997267040209975,1000.0,0.0,3.081213056249008,0.8933237116142527
SGD+Momentum,0.00021544346900318845,0.99,0.001,4.893341540417287,3.2385674029187617,1000.0,0.0,2.1323545596198046,1.5185579364883555
SGD+Momentum,0.1,0.9,0.001,20.470118405114345,3.723645961141253,1000.0,0.0,83.09860967952024,43.019285256922856
SGD+Momentum,0.00046415888336127773,0.8,0.001,6.995647885522802,1.599722874197754,1000.0,0.0,3.081184815599168,0.8928553587239486
SGD+Momentum,0.046415888336127774,0.99,0.1,19.782014767592678,4.9037914647028,1000.0,0.0,348.96450417719535,298.44963964480326
SGD+Momentum,0.002154434690031882,0.9,0.01,6.995649243627159,1.5997228337090088,1000.0,0.0,3.081243112367144,0.8928254662807448
SGD+Momentum,0.021544346900318822,0.99,0.01,4.276042383097252,3.0817407854182957,1000.0,0.0,1.7461596973781526,1.5415675796706172
SGD+Momentum,0.021544346900318822,0.99,0.001,4.7561097840643205,2.7790499654724776,1000.0,0.0,2.0126142176574775,1.3600185380501766
SGD+Momentum,0.001,0.9,0.001,6.995647889646048,1.59972287313024,1000.0,0.0,3.0811875756344547,0.8928545108513504
SGD+Momentum,0.001,0.99,0.001,3.9791648143775715,3.4342185922642297,1000.0,0.0,1.7288318077576428,1.5940815692485741
SGD+Momentum,0.0001,0.9,0.01,6.99564794902209,1.5997228621035298,1000.0,0.0,3.0811978673878846,0.8928521182934956
SGD+Momentum,0.046415888336127774,0.9,0.01,4.674541561682952,2.7200771246675144,1000.0,0.0,1.931859137324962,1.3530632405968268
SGD+Momentum,0.1,0.8,0.1,12.490727706282916,6.0962331351545584,1000.0,0.0,12.920869509688051,18.61192817929061
SGD+Momentum,0.021544346900318822,0.99,0.001,4.976622619808877,3.0179094134901425,1000.0,0.0,2.1242664202228405,1.5637636492566829
SGD+Momentum,0.00046415888336127773,0.99,0.01,3.5549215323623606,3.5989786775926875,1000.0,0.0,1.559300414804325,1.6617711950341685
SGD+Momentum,0.0001,0.8,0.001,6.9956478846800305,1.5997228738560372,986.55,0.05,3.0811855060179503,0.8928544375404601
SGD+Momentum,0.021544346900318822,0.8,0.001,5.9866115105984585,2.8414148403647954,1000.0,0.0,2.627774831851774,1.3852997639581173
SGD+Momentum,0.01,0.8,0.001,6.995647912356229,1.5997228817354534,1000.0,0.0,3.0811861186968215,0.8928583674872596
SGD+Momentum,0.01,0.9,0.001,5.216409850803114,3.1297609856120805,1000.0,0.0,2.273428399010263,1.474883253754815
SGD+Momentum,0.046415888336127774,0.99,0.01,20.08257939165649,3.183663982548201,1000.0,0.0,288.6462682580435,256.4754297118002
SGD+Momentum,0.01,0.9,0.1,5.257370951805653,3.103878106941903,1000.0,0.0,2.2888493404744703,1.4692539818977244
SGD+Momentum,0.001,0.99,0.001,3.97884730619594,3.434516788554945,1000.0,0.0,1.7290646626852304,1.5939908152192237
