optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.0001,0.95,0.9999,1e-07,44.13288468328573,14.666443389473336,1000.0,0.0,3.8258025330645857,0.9485972416675937
Adam,0.046415888336127774,0.9,0.9995,1e-06,16.118293810072082,7.659209013950218,352.85,1.0,3.879186650698144,0.9943899670095165
Adam,0.004641588833612777,0.95,0.9995,1e-06,16.118293810072082,7.659209013950218,747.95,1.0,3.8791866507195474,0.9943899671788166
Adam,0.1,0.95,0.9995,1e-08,16.118293810072082,7.659209013950217,716.65,1.0,3.8791866509777635,0.9943899673139026
Adam,0.01,0.99,0.9999,1e-07,16.118861391345504,7.659263788555232,1000.0,0.0,3.8794010165151804,0.9944351485594557
Adam,0.1,0.9,0.999,1e-08,16.118293810072082,7.659209013950217,353.05,1.0,3.8791866509582937,0.9943899667734309
Adam,0.00046415888336127773,0.9,0.9995,1e-06,16.29270445243832,7.669766664082467,1000.0,0.0,3.877470046562029,0.9912443581991256
Adam,0.00046415888336127773,0.99,0.9999,1e-06,16.148161992022676,7.6582775911244205,1000.0,0.0,3.881348409515039,0.99478385863443
Adam,0.046415888336127774,0.9,0.999,1e-06,16.118293810072082,7.659209013950217,352.65,1.0,3.8791866505292147,0.9943899668434506
Adam,0.021544346900318822,0.9,0.999,1e-08,16.118293810072082,7.6592090139502185,356.7,1.0,3.879186650871899,0.9943899669269147
Adam,0.046415888336127774,0.99,0.9995,1e-07,16.118765597569794,7.659240156375768,1000.0,0.0,3.8791861806654966,0.9946175624546802
Adam,0.021544346900318822,0.9,0.999,1e-08,16.118293810072082,7.6592090139502185,356.7,1.0,3.879186650871899,0.9943899669269147
Adam,0.0001,0.9,0.9999,1e-08,44.04814168445672,14.61781745112068,1000.0,0.0,3.826011982557469,0.9487035469372597
Adam,0.0001,0.95,0.9999,1e-06,44.13288516665777,14.666443537955319,1000.0,0.0,3.825802532213244,0.9485972412599525
Adam,0.00046415888336127773,0.99,0.9999,1e-07,16.14816197833691,7.658277591852103,1000.0,0.0,3.8813484098860895,0.9947838590532115
Adam,0.00046415888336127773,0.95,0.999,1e-06,16.26870227601095,7.66788137218047,1000.0,0.0,3.8778716213629116,0.9916045755334437
Adam,0.002154434690031882,0.9,0.9999,1e-08,16.118293810072082,7.659209013950218,551.1,1.0,3.879186651479092,0.9943899673803205
Adam,0.00046415888336127773,0.99,0.999,1e-06,16.157749241389944,7.655691942608253,1000.0,0.0,3.881297720050388,0.9949486591936139
Adam,0.002154434690031882,0.99,0.9999,1e-08,16.11941883794991,7.659414432317414,1000.0,0.0,3.879742268743341,0.9948585351018988
Adam,0.046415888336127774,0.9,0.9999,1e-08,16.118293810072082,7.659209013950217,353.1,1.0,3.8791866509390487,0.9943899670740982
Adam,0.0001,0.9,0.9999,1e-06,44.04814221861228,14.617817615035639,1000.0,0.0,3.826011981632572,0.948703546476406
Adam,0.001,0.95,0.999,1e-08,16.11829381022799,7.659209014029765,992.4,0.05,3.87918688639924,0.9943900817432695
Adam,0.001,0.99,0.999,1e-06,16.122060163383846,7.659018139092064,1000.0,0.0,3.8797083938353425,0.9945918788594184
Adam,0.00021544346900318845,0.95,0.9999,1e-06,25.585511464900627,9.405776799040204,1000.0,0.0,3.8511164466410848,0.9663534750271024
